SystemPath,SystemName,SystemType,Equipment Type,Equipment ID,Manufacturer,Serial Number,National Board Number,Model Number,Year Built,Name Plate,U-1 Form,PSM Covered,Code Stamp,PID Drawing,PFD,PID Number,PFD Number,Shutdown Level,Criticality,Equipment Description,Code,CML Locations.CML,CML Locations.CML Location,CML Locations.Component Type,CML Locations.Component,CML Locations.Outside Diameter,CML Locations.Nominal Thickness,CML Locations.Corrosion Allowance,CML Locations.T-min,CML Locations.Material Spec,CML Locations.Material Grade,CML Locations.CML Pressure,CML Locations.CML Temperature,CML Locations.CML Joint Efficiency,CML Locations.CML Access,CML Locations.Insulation,CML Locations.CML Installed On,CML Locations.CML Status,CML Locations.NDE Type
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-033,COND-033,Process Piping,,COND-033,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1112,,,,V-1017 TO P-1018,2014 B31.3 (Carbon Steel),1.01,North,Piping,Straight Pipe,4.5,0.237,0,,A106,B,250,245,1.0,Ground,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-033,COND-033,Process Piping,,COND-033,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1112,,,,V-1017 TO P-1018,2014 B31.3 (Carbon Steel),1.02,East,Piping,Straight Pipe,4.5,0.237,0,,A106,B,250,245,1.0,Ground,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-033,COND-033,Process Piping,,COND-033,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1112,,,,V-1017 TO P-1018,2014 B31.3 (Carbon Steel),1.03,South,Piping,Straight Pipe,4.5,0.237,0,,A106,B,250,245,1.0,Ground,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-033,COND-033,Process Piping,,COND-033,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1112,,,,V-1017 TO P-1018,2014 B31.3 (Carbon Steel),1.04,West,Piping,Straight Pipe,4.5,0.237,0,,A106,B,250,245,1.0,Ground,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-033,COND-033,Process Piping,,COND-033,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1112,,,,V-1017 TO P-1018,2014 B31.3 (Carbon Steel),2.01,Outside Radius,Piping,Elbow,4.5,0.237,0,,A234,WPB,250,245,1.0,Ground,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-033,COND-033,Process Piping,,COND-033,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1112,,,,V-1017 TO P-1018,2014 B31.3 (Carbon Steel),2.02,Inside Radius,Piping,Elbow,4.5,0.237,0,,A234,WPB,250,245,1.0,Ground,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-033,COND-033,Process Piping,,COND-033,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1112,,,,V-1017 TO P-1018,2014 B31.3 (Carbon Steel),2.03,South,Piping,Elbow,4.5,0.237,0,,A234,WPB,250,245,1.0,Ground,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-033,COND-033,Process Piping,,COND-033,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1112,,,,V-1017 TO P-1018,2014 B31.3 (Carbon Steel),3.01,Top,Piping,Straight Pipe,4.5,0.237,0,,A106,B,250,245,1.0,Ground,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-033,COND-033,Process Piping,,COND-033,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1112,,,,V-1017 TO P-1018,2014 B31.3 (Carbon Steel),3.02,North,Piping,Straight Pipe,4.5,0.237,0,,A106,B,250,245,1.0,Ground,No,01/01/2025,Active,UT
XCEL > Kinetik > Kings Landing > Unit > Piping > COND-033,COND-033,Process Piping,,COND-033,,,,,2024,,,Yes,,Yes,No,K1GP-PID-1112,,,,V-1017 TO P-1018,2014 B31.3 (Carbon Steel),3.03,Bottom,Piping,Straight Pipe,4.5,0.237,0,,A106,B,250,245,1.0,Ground,No,01/01/2025,Active,UT
